Protein,Delta,DeltaSquared
Plate2_B8_CYCS_AbD,0.072372776,0.022916779
Plate2_B9_SPP1/Osteopontin_R&D,0.062839757,0.040046973
Plate2_C10_KRT10_Abcam,0.075707608,0.525944186
Plate2_C11_PTP4A3_R&D,-0.016801493,0.026484752
Plate2_C12_KRT14_Abcam,0.012736676,0.044663276
Plate2_C13_TIAM1_R&D,0.021875187,0.062182891
Plate2_C14_L1CAM_Abcam,0.061127464,0.068658
Plate2_C15_ADAM23_R&D,-0.065417672,0.093536859
Plate2_C16_LEPR_Abcam,-0.032089124,0.029599393
Plate2_C17_STAT4_R&D,0.045831084,0.038511819
Plate2_C18_LGALS7_Abcam,-0.056005305,0.07178459
Plate2_C19_PPP2CA_R&D,-0.013995562,0.099504391
Plate2_C2_ITGB8_Abcam,0.129007939,0.055583106
Plate2_C21_REG3A_R&D,0.036748618,0.298502084
Plate2_C22_LSAMP_Abcam,-0.020355779,0.017676848
Plate2_C23_THBS4_R&D,0.035026155,0.066314596
Plate2_C24_LTBP1_Abcam,0.020472964,0.083354014
Plate2_C3_STAT1_R&D,-0.013434927,0.04997366
